node_name1,node_name1_suffix,node_name2,node_name2_suffix,relationship,connectivity_type,relationship_type,status,capacity,utilisation
optical.ko,ko,optical.trm,trm,optical-ko-trm,optical,Optical,active,100,10
optical.ko,ko,optical.tg,tg,optical-ko-tg,optical,Optical,active,100,10
optical.ko,ko,optical.tg,tg,optical-ko-tg,optical,Optical,active,100,10
optical.ko,ko,optical.sja,sja,optical-ko-sja,optical,Optical,active,100,10
optical.ko,ko,optical.tg,tg,optical-ko-tg,optical,Optical,active,100,10
optical.ko,ko,optical.trm,trm,optical-ko-trm,optical,Optical,active,100,10
optical.tg,tg,optical.trm,trm,optical-tg-trm,optical,Optical,active,100,10
optical.tg,tg,optical.kbr,kbr,optical-tg-kbr,optical,Optical,active,100,10
optical.tg,tg,optical.trm,trm,optical-tg-trm,optical,Optical,active,100,10
optical.tg,tg,optical.brt,brt,optical-tg-brt,optical,Optical,active,100,10
optical.tg,tg,optical.tsk,tsk,optical-tg-tsk,optical,Optical,active,100,10
optical.tg,tg,optical.pk,pk,optical-tg-pk,optical,Optical,active,100,10
optical.tg,tg,optical.ko,ko,optical-tg-ko,optical,Optical,active,100,10
optical.tg,tg,optical.trm,trm,optical-tg-trm,optical,Optical,active,100,10
optical.trm,trm,optical.ppg,ppg,optical-trm-ppg,optical,Optical,active,100,10
optical.trm,trm,optical.rb,rb,optical-trm-rb,optical,Optical,active,100,10
optical.trm,trm,optical.pe,pe,optical-trm-pe,optical,Optical,active,100,10
optical.trm,trm,optical.tl,tl,optical-trm-tl,optical,Optical,active,100,10
optical.trm,trm,optical.bms,bms,optical-trm-bms,optical,Optical,active,100,10
optical.trm,trm,optical.mec,mec,optical-trm-mec,optical,Optical,active,100,10
optical.trm,trm,optical.sgt,sgt,optical-trm-sgt,optical,Optical,active,100,10
optical.trm,trm,optical.tg,tg,optical-trm-tg,optical,Optical,active,100,10
optical.trm,trm,optical.kvdc,kvdc,optical-trm-kvdc,optical,Optical,active,100,10
optical.trm,trm,optical.ko,ko,optical-trm-ko,optical,Optical,active,100,10
optical.trm,trm,optical.brf,brf,optical-trm-brf,optical,Optical,active,100,10
optical.KQ,KQ,optical.gmu,gmu,optical-KQ-gmu,optical,Optical,active,100,10
optical.gbd,gbd,optical.kbr,kbr,optical-gbd-kbr,optical,Optical,active,100,10
optical.gbd,gbd,optical.ko,ko,optical-gbd-ko,optical,Optical,active,100,10
optical.kbr,kbr,optical.gbd,gbd,optical-kbr-gbd,optical,Optical,active,100,10
optical.kbr,kbr,optical.cki,cki,optical-kbr-cki,optical,Optical,active,100,10
optical.kbr,kbr,optical.bup,bup,optical-kbr-bup,optical,Optical,active,100,10
optical.man,man,optical.cdg,cdg,optical-man-cdg,optical,Optical,active,100,10
optical.pe,pe,optical.rb,rb,optical-pe-rb,optical,Optical,active,100,10
optical.pe,pe,optical.trm,trm,optical-pe-trm,optical,Optical,active,100,10
optical.pe,pe,optical.geb,geb,optical-pe-geb,optical,Optical,active,100,10
optical.pe,pe,optical.pbr,pbr,optical-pe-pbr,optical,Optical,active,100,10
optical.pe,pe,optical.tlr,tlr,optical-pe-tlr,optical,Optical,active,100,10
optical.pe,pe,optical.krp,krp,optical-pe-krp,optical,Optical,active,100,10
optical.pe,pe,optical.mec,mec,optical-pe-mec,optical,Optical,active,100,10
optical.rb,rb,optical.pe,pe,optical-rb-pe,optical,Optical,active,100,10
optical.rb,rb,optical.ki,ki,optical-rb-ki,optical,Optical,active,100,10
